HEA-532,6-8,Rh,8,Ru,6,Ir,11,Pd,9,Pd,12,Ir,12,Ru,9,Pt,7,Rh,12,Ir,10,Pt,7,Ru,9,-1.52187306
HEA-532,6-8,Ru,8,Rh,6,Pt,11,Pd,9,Rh,12,Rh,12,Ir,10,Rh,12,Pd,10,Pt,7,Rh,7,Ir,9,-1.47144061
HEA-532,6-8,Pd,8,Rh,6,Rh,9,Pd,11,Ir,12,Pt,12,Pd,10,Rh,7,Rh,10,Rh,7,Pd,12,Pd,9,-0.993455594
HEA-532,6-8,Pd,8,Rh,6,Ru,9,Pd,11,Ru,12,Pd,12,Ru,10,Pt,7,Ru,10,Ir,12,Rh,7,Ru,9,-0.905203718
HEA-532,6-8,Ru,8,Ru,6,Rh,9,Rh,11,Pd,12,Pd,12,Ir,10,Rh,10,Rh,12,Rh,7,Pd,7,Ru,9,-1.75765437
HEA-532,6-8,Ir,8,Rh,6,Pt,11,Pt,9,Ir,12,Ir,12,Ir,12,Pt,10,Pd,7,Ir,10,Pd,7,Ir,9,-1.12603605
HEA-532,6-8,Ir,6,Ru,8,Ru,9,Pt,11,Pt,12,Ir,12,Ru,10,Ru,7,Ru,10,Ir,12,Rh,7,Ir,9,-1.50916575
HEA-532,6-8,Ru,6,Rh,8,Rh,11,Pt,9,Pd,12,Ir,12,Ir,10,Pt,7,Pd,12,Ir,10,Rh,7,Pt,9,-1.39454048
HEA-532,6-8,Rh,8,Ir,6,Ir,9,Ru,11,Rh,12,Pt,12,Rh,10,Rh,7,Pt,12,Pd,10,Ru,7,Ir,9,-1.41864428
HEA-532,6-8,Ir,6,Rh,8,Rh,11,Pt,9,Rh,12,Pt,12,Ir,10,Rh,10,Pd,7,Pt,12,Pd,7,Pt,9,-1.28414358
HEA-532,6-8,Ru,8,Ir,6,Ir,11,Pt,9,Pt,12,Pt,12,Ir,10,Pt,7,Rh,12,Rh,10,Pd,7,Ru,9,-1.50131130
HEA-532,6-8,Pt,6,Pt,8,Pt,11,Pd,9,Rh,12,Ir,12,Ru,10,Pd,12,Pt,10,Ru,7,Rh,7,Pt,9,-0.634422947
HEA-532,6-8,Ir,6,Ru,8,Ru,11,Ru,9,Ir,12,Pt,12,Pt,10,Pd,10,Rh,7,Pt,12,Pd,7,Rh,9,-1.51079659
HEA-532,6-8,Ru,8,Ir,6,Pt,11,Rh,9,Rh,12,Ir,12,Pd,10,Rh,12,Pt,7,Ir,7,Pd,10,Rh,9,-1.36591191
HEA-532,6-8,Ru,6,Rh,8,Ir,11,Pd,9,Rh,12,Ru,12,Pt,7,Pd,10,Pt,12,Ru,10,Pd,7,Pt,9,-1.25718605
HEA-532,6-8,Ir,8,Ir,6,Pt,11,Ir,9,Pt,12,Ir,12,Pt,10,Pt,7,Pd,12,Ru,10,Pd,7,Ru,9,-1.24898792
HEA-532,6-8,Rh,8,Pd,6,Ru,11,Rh,9,Ir,12,Ir,12,Rh,12,Pd,10,Ir,10,Ru,7,Rh,7,Pt,9,-1.09134874
HEA-532,6-8,Ru,8,Rh,6,Pd,11,Pt,9,Rh,12,Pd,12,Ir,10,Rh,10,Ir,12,Pt,7,Pt,7,Pd,9,-1.35216210
HEA-532,6-8,Ru,8,Rh,6,Ir,9,Pt,11,Ru,12,Pt,12,Ir,7,Rh,10,Ir,10,Pd,12,Pd,7,Pt,9,-1.34687550
HEA-532,6-8,Rh,8,Rh,6,Ru,11,Rh,9,Rh,12,Rh,12,Ru,12,Pd,10,Rh,10,Ru,7,Pd,7,Ir,9,-1.23343532
HEA-532,6-8,Pd,6,Pt,8,Ru,11,Pt,9,Ru,12,Rh,12,Ir,12,Ru,10,Ir,10,Ru,7,Pt,7,Ir,9,-0.584858600
